                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.92327,                0.92126,                0.80601,                0.67405,                0.66089,                  0.668,                 0.2714,                 2.0974,                 2.9476,                0.95165,             0.00099238,             0.00099238,             0.00099238
                     85,                0.95278,                0.93184,                0.80862,                0.70538,                0.62226,                0.66563,                0.28144,                 2.0324,                 3.0192,                0.93895,             0.00099219,             0.00099219,             0.00099219
                     86,                0.90912,                0.88944,                0.80509,                0.64168,                0.69059,                0.64522,                0.29691,                 2.0376,                 2.7979,                0.93434,             0.00099201,             0.00099201,             0.00099201
                     87,                0.90336,                0.90062,                0.80121,                0.68366,                0.65347,                0.65227,                0.29723,                 2.0098,                 2.7016,                0.93184,             0.00099182,             0.00099182,             0.00099182
                     88,                 0.9168,                0.89808,                0.80411,                0.70536,                0.63404,                0.66015,                0.29632,                 1.9888,                 3.0092,                0.93696,             0.00099163,             0.00099163,             0.00099163
                     89,                0.90784,                0.88043,                 0.8055,                0.67545,                0.65099,                 0.6591,                0.29925,                 2.0161,                 3.1473,                 0.9375,             0.00099144,             0.00099144,             0.00099144
                     90,                0.92411,                0.89675,                0.81055,                0.70133,                0.68564,                0.69449,                0.31011,                 2.0265,                 2.6735,                0.93678,             0.00099124,             0.00099124,             0.00099124
                     91,                0.89772,                0.88891,                0.80443,                0.66844,                0.61381,                0.65818,                0.27982,                 2.0902,                 3.1979,                0.94787,             0.00099104,             0.00099104,             0.00099104
                     92,                0.90846,                0.89266,                0.80527,                0.72326,                0.66584,                0.66434,                0.30515,                 2.0007,                 2.9353,                0.93854,             0.00099084,             0.00099084,             0.00099084
                     93,                0.89344,                0.88497,                0.80157,                0.66386,                0.59151,                0.62516,                0.26016,                 2.1779,                 3.4163,                0.96359,             0.00099064,             0.00099064,             0.00099064
                     94,                0.89801,                 0.8877,                0.80888,                0.66761,                0.63138,                0.64062,                0.27976,                 2.1197,                  3.367,                0.94746,             0.00099044,             0.00099044,             0.00099044
                     95,                0.89265,                0.90002,                0.80624,                0.65041,                0.73223,                0.69133,                0.31419,                 1.9751,                 2.7213,                0.93611,             0.00099023,             0.00099023,             0.00099023
                     96,                0.87676,                0.86704,                 0.8057,                0.65138,                0.64285,                0.62382,                0.25663,                 2.1063,                 3.1818,                0.94214,             0.00099002,             0.00099002,             0.00099002
                     97,                0.88799,                0.90124,                0.79964,                0.67517,                 0.7005,                0.66082,                 0.3048,                 2.0398,                  2.846,                0.94151,             0.00098981,             0.00098981,             0.00098981
                     98,                0.90645,                0.89767,                0.80565,                0.69998,                0.67822,                0.67944,                0.31273,                 2.0663,                 3.0322,                0.94303,              0.0009896,              0.0009896,              0.0009896
                     99,                 0.8989,                0.88045,                0.80699,                0.64533,                0.69059,                 0.6712,                 0.2951,                 2.1043,                 3.0581,                 0.9529,             0.00098939,             0.00098939,             0.00098939
                    100,                0.90386,                  0.894,                 0.8044,                0.66385,                0.66832,                0.66682,                0.28051,                 2.0868,                 2.8121,                0.95523,             0.00098917,             0.00098917,             0.00098917
                    101,                 0.8628,                0.85694,                0.80559,                0.63968,                0.70545,                0.66963,                0.27841,                 2.1509,                 3.0396,                 0.9622,             0.00098895,             0.00098895,             0.00098895
                    102,                0.85834,                 0.8572,                0.80403,                  0.679,                0.70682,                0.68428,                0.31053,                 2.0618,                 2.8112,                0.94057,             0.00098873,             0.00098873,             0.00098873
                    103,                0.85311,                0.84636,                 0.7977,                0.67412,                0.66584,                0.67702,                0.29558,                 2.0486,                 2.9875,                0.93552,              0.0009885,              0.0009885,              0.0009885
                    104,                0.85902,                0.84406,                0.80225,                0.68449,                 0.7142,                0.71114,                0.32359,                 1.9816,                 3.0545,                 0.9232,             0.00098828,             0.00098828,             0.00098828
                    105,                0.87473,                0.86349,                 0.8066,                0.67044,                0.51485,                0.60379,                 0.2631,                 2.1054,                  4.054,                 0.9586,             0.00098805,             0.00098805,             0.00098805
                    106,                0.87875,                0.85996,                0.79859,                0.65503,                0.64851,                0.67381,                   0.31,                 2.1011,                 3.1382,                0.96115,             0.00098782,             0.00098782,             0.00098782
                    107,                0.87279,                0.86327,                0.80797,                0.65076,                0.66584,                0.65992,                0.29811,                 2.0416,                  2.915,                0.93963,             0.00098761,             0.00098761,             0.00098761
                    108,                0.86138,                0.85225,                0.80428,                0.67743,                0.68616,                0.65764,                0.29078,                  2.037,                 2.9657,                0.93809,             0.00098737,             0.00098737,             0.00098737
                    109,                0.87565,                0.85904,                0.80265,                0.67845,                0.62871,                0.64077,                0.28599,                 2.0297,                 3.1649,                 0.9385,             0.00098714,             0.00098714,             0.00098714
                    110,                0.84079,                0.84932,                0.80075,                0.65693,                0.68727,                0.66074,                 0.2872,                 2.0796,                 2.8729,                0.94216,              0.0009869,              0.0009869,              0.0009869
                    111,                 0.8461,                0.84252,                0.80312,                 0.6711,                0.71782,                0.65237,                 0.2883,                 2.0657,                 2.8918,                0.93951,             0.00098666,             0.00098666,             0.00098666
                    112,                0.85465,                0.85314,                0.79152,                0.66799,                0.68317,                0.67795,                0.29477,                 2.1599,                 3.0742,                0.96552,             0.00098641,             0.00098641,             0.00098641
                    113,                0.85158,                0.85084,                0.80424,                0.70954,                0.67327,                 0.6977,                0.31234,                 2.0905,                 2.7349,                0.95845,             0.00098617,             0.00098617,             0.00098617
                    114,                0.87651,                0.86681,                0.79985,                0.68595,                0.70823,                0.69581,                 0.3103,                 2.0532,                 2.6918,                 0.9496,             0.00098592,             0.00098592,             0.00098592
                    115,                0.82695,                0.82477,                0.80193,                0.69555,                0.67327,                0.65548,                0.28252,                 2.0782,                 2.9622,                0.95698,             0.00098567,             0.00098567,             0.00098567
                    116,                0.86085,                0.83308,                 0.7989,                0.69893,                0.67574,                 0.6798,                 0.3143,                 2.1237,                 2.9628,                0.96345,             0.00098542,             0.00098542,             0.00098542
                    117,                0.84817,                0.84223,                0.80342,                0.71567,                0.71026,                0.69565,                0.31515,                 1.9982,                 2.7921,                0.94277,             0.00098517,             0.00098517,             0.00098517
                    118,                0.83752,                0.83981,                0.79633,                0.67936,                0.66832,                0.66168,                0.28566,                 2.1308,                 3.2281,                0.96428,             0.00098491,             0.00098491,             0.00098491
                    119,                0.82281,                0.82787,                0.79742,                0.68427,                0.63301,                0.65133,                0.28608,                 2.1459,                 3.6032,                0.95112,             0.00098466,             0.00098466,             0.00098466
                    120,                0.83699,                0.84505,                0.80176,                0.71336,                0.63448,                0.66096,                 0.2966,                 2.0597,                 3.2875,                0.95328,              0.0009844,              0.0009844,              0.0009844
                    121,                0.83813,                0.83529,                0.80203,                0.71225,                0.64332,                0.68376,                0.30546,                 2.0007,                 2.8739,                0.94428,             0.00098413,             0.00098413,             0.00098413
                    122,                0.83099,                0.83226,                 0.7971,                0.70528,                0.65159,                0.69666,                0.32796,                 1.9566,                 2.9844,                0.94399,             0.00098387,             0.00098387,             0.00098387
                    123,                 0.8228,                0.81362,                0.80487,                0.70969,                0.63614,                0.69274,                0.31758,                   2.04,                 3.0536,                0.94109,              0.0009836,              0.0009836,              0.0009836
                    124,                0.82703,                0.82474,                0.79814,                0.75724,                0.67173,                0.70426,                0.31779,                 2.0034,                 2.6522,                 0.9376,             0.00098334,             0.00098334,             0.00098334
                    125,                0.81503,                0.81896,                0.80091,                0.68866,                0.67891,                0.69653,                0.32175,                 2.0251,                 3.0678,                0.93645,             0.00098307,             0.00098307,             0.00098307
                    126,                0.80235,                0.80671,                0.80287,                0.70837,                0.68069,                0.69642,                0.31346,                 2.0566,                 2.9713,                0.95457,             0.00098279,             0.00098279,             0.00098279
                    127,                0.83582,                0.83097,                0.79825,                0.68201,                0.68812,                0.68016,                0.31022,                 2.0317,                 2.9223,                0.93963,             0.00098252,             0.00098252,             0.00098252
                    128,                0.82022,                 0.8244,                0.79472,                0.68468,                0.70409,                0.68252,                0.31566,                 2.0028,                 2.8547,                0.94847,             0.00098224,             0.00098224,             0.00098224
                    129,                 0.8111,                0.80949,                0.79638,                0.69101,                0.70792,                0.68702,                 0.3073,                 2.0291,                 2.8121,                0.95004,             0.00098196,             0.00098196,             0.00098196
                    130,                0.81354,                0.80647,                0.79629,                0.68136,                0.65842,                0.65261,                0.30068,                 2.0492,                  3.262,                0.96402,             0.00098168,             0.00098168,             0.00098168
                    131,                0.81351,                0.80892,                0.80167,                0.69808,                0.64109,                0.67591,                0.30279,                 2.1037,                 2.9596,                0.96233,              0.0009814,              0.0009814,              0.0009814
                    132,                0.83059,                0.82451,                0.80071,                0.66131,                0.69596,                0.69798,                  0.328,                 1.9326,                 2.7091,                0.93571,             0.00098111,             0.00098111,             0.00098111
                    133,                 0.8311,                0.80728,                0.79992,                0.67717,                 0.7203,                0.71186,                0.32863,                 1.9713,                 2.6315,                0.94245,             0.00098082,             0.00098082,             0.00098082
                    134,                0.81686,                0.79979,                0.79752,                0.70757,                0.70297,                0.68613,                0.31653,                 2.0052,                  2.757,                0.95633,             0.00098053,             0.00098053,             0.00098053
                    135,                0.81396,                0.78963,                0.79309,                0.72167,                0.66584,                0.70884,                0.32252,                 2.1132,                 2.9073,                0.97065,             0.00098024,             0.00098024,             0.00098024
                    136,                0.81613,                0.79304,                0.80077,                0.72164,                0.63861,                0.70921,                0.31792,                 2.0364,                 2.9944,                0.94972,             0.00097995,             0.00097995,             0.00097995
                    137,                0.78823,                0.78655,                0.79672,                0.68807,                0.63882,                0.67073,                0.28591,                   2.11,                 3.0446,                0.96662,             0.00097965,             0.00097965,             0.00097965
                    138,                0.78543,                0.78827,                0.79219,                0.73082,                0.65188,                0.68961,                0.30288,                 1.9881,                 2.8506,                0.94738,             0.00097935,             0.00097935,             0.00097935
                    139,                0.80277,                0.79152,                 0.7957,                0.72319,                0.65962,                0.68234,                0.30047,                 2.0448,                  2.894,                0.94762,             0.00097905,             0.00097905,             0.00097905
                    140,                0.79394,                0.79142,                0.79523,                0.69918,                0.64604,                0.65684,                 0.2869,                 2.0839,                 3.1943,                0.95259,             0.00097875,             0.00097875,             0.00097875
                    141,                0.79003,                0.78613,                0.79986,                0.71044,                0.67574,                0.66836,                0.30315,                  2.028,                 2.8712,                0.94419,             0.00097845,             0.00097845,             0.00097845
                    142,                0.80545,                0.80665,                 0.7947,                0.69288,                 0.7302,                0.69441,                0.32589,                 1.9594,                  2.772,                 0.9317,             0.00097814,             0.00097814,             0.00097814
                    143,                0.78712,                0.78452,                0.79369,                0.71161,                0.63366,                0.68043,                0.31407,                 2.0263,                 3.2233,                0.94866,             0.00097783,             0.00097783,             0.00097783
                    144,                0.77596,                0.77878,                 0.7941,                0.69253,                0.68317,                0.70897,                0.31112,                 1.9776,                 2.9004,                0.94564,             0.00097752,             0.00097752,             0.00097752
                    145,                0.80694,                0.81819,                0.79325,                0.71641,                0.69059,                0.71533,                0.32707,                 1.8866,                 2.6812,                0.93384,             0.00097721,             0.00097721,             0.00097721
